rank,keyword,npscore
1417,이젤,1
1444,인삼차,1
1331,자수기,1
1435,자습서,1
1322,잡곡밥,1
1431,재첩국,1
1401,전자관,1
1363,전자저울,1
1336,점프수트,1
1321,정구복,1
1357,제라늄,1
1394,제사상,1
1314,제올라이트,1
1308,쥐덫,1
1377,즉석요리,1
1421,진동계,1
1384,찔레,1
1414,착색제,1
1440,찬기,1
1427,채반,1
1351,천공기,1
1415,천연염료,1
1382,체이서,1
1434,촛대,1
1310,칠리소스,1
1368,카나페,1
1372,캐러멜,1
1425,캐스터네츠,1
1341,캔들,1
1350,컵케이크,1
1386,코크스,1
1404,코펠,1
1365,콜드크림,1
1324,콩나물밥,1
1367,크로노그래프,1
1360,타르타르소스,1
1418,타블렛,1
1392,타피,1
1353,테니스공,1
1325,테라리엄,1
1424,테라코타,1
1428,토르티야,1
1436,투창,1
1344,파니니,1
1387,페도라,1
1438,펜촉,1
1352,펜치,1
1437,펠리칸,1
1411,포기김치,1
1445,포테이토칩,1
1337,프라모델,1
1329,프렌치토스트,1
1330,피스타치오,1
1378,필라프,1
1389,합금강,1
1407,행거,1
1345,허리끈,1
1405,호금,1
1349,호빵,1
1388,확대경,1
1391,후라이팬,1
